intervention_id,student_id,intervention_type,intervention_date,staff_assigned,outcome
2784,2779,At-Risk Outreach,2023-11-24,Advisor Jones,No Response
2785,2784,At-Risk Outreach,2023-10-14,Advisor Garcia,Follow-up Needed
2786,2786,At-Risk Outreach,2023-11-05,Advisor Garcia,No Response
2787,2786,Financial Aid Guidance,2023-12-15,Advisor Smith,Successful
2788,2794,Financial Aid Guidance,2023-11-03,Advisor Jones,In Progress
2789,2796,Academic Planning,2023-10-30,Advisor Chen,Successful
2790,2800,At-Risk Outreach,2023-12-29,Advisor Garcia,Successful
2791,2800,Career Counseling,2023-11-14,Advisor Chen,In Progress
2792,2807,Career Counseling,2023-11-16,Advisor Garcia,Follow-up Needed
2793,2807,Financial Aid Guidance,2023-10-29,Advisor Jones,No Response
2794,2810,Financial Aid Guidance,2023-12-12,Advisor Chen,No Response
2795,2810,Financial Aid Guidance,2023-12-27,Advisor Chen,Successful
2796,2822,Financial Aid Guidance,2023-11-02,Advisor Garcia,Follow-up Needed
2797,2829,Career Counseling,2023-10-01,Advisor Jones,In Progress
2798,2830,Career Counseling,2023-12-05,Advisor Smith,No Response
2799,2833,Financial Aid Guidance,2023-11-19,Advisor Garcia,No Response
2800,2836,Career Counseling,2023-11-29,Advisor Garcia,In Progress
2801,2836,Financial Aid Guidance,2023-10-08,Advisor Garcia,In Progress
2802,2840,Academic Planning,2023-11-29,Advisor Smith,Follow-up Needed
2803,2840,Career Counseling,2023-11-01,Advisor Jones,No Response
2804,2842,At-Risk Outreach,2023-12-28,Advisor Smith,Follow-up Needed
2805,2845,At-Risk Outreach,2023-10-16,Advisor Jones,Follow-up Needed
2806,2845,At-Risk Outreach,2023-10-07,Advisor Smith,In Progress
2807,2846,Academic Planning,2023-12-13,Advisor Chen,In Progress
2808,2849,At-Risk Outreach,2023-10-01,Advisor Garcia,In Progress
2809,2849,Career Counseling,2023-12-02,Advisor Jones,No Response
2810,2850,Financial Aid Guidance,2023-10-02,Advisor Chen,Successful
2811,2850,Career Counseling,2023-11-01,Advisor Jones,In Progress
2812,2854,At-Risk Outreach,2023-12-25,Advisor Chen,In Progress
2813,2855,Financial Aid Guidance,2023-10-03,Advisor Jones,No Response
2814,2861,Academic Planning,2023-10-21,Advisor Smith,No Response
2815,2865,At-Risk Outreach,2023-12-10,Advisor Garcia,Follow-up Needed
2816,2865,Financial Aid Guidance,2023-11-01,Advisor Smith,In Progress
2817,2869,Financial Aid Guidance,2023-12-20,Advisor Chen,Follow-up Needed
2818,2869,Academic Planning,2023-12-01,Advisor Garcia,Successful
2819,2872,Career Counseling,2023-10-03,Advisor Jones,Successful
2820,2872,Financial Aid Guidance,2023-11-08,Advisor Jones,Successful
2821,2874,Academic Planning,2023-10-13,Advisor Chen,Successful
2822,2876,At-Risk Outreach,2023-11-12,Advisor Garcia,Follow-up Needed
2823,2880,Financial Aid Guidance,2023-12-07,Advisor Jones,Successful
2824,2880,Financial Aid Guidance,2023-12-18,Advisor Chen,Successful
2825,2882,Career Counseling,2023-12-01,Advisor Garcia,Follow-up Needed
2826,2883,At-Risk Outreach,2023-11-18,Advisor Smith,Successful
2827,2886,Financial Aid Guidance,2023-11-10,Advisor Garcia,Follow-up Needed
2828,2890,Career Counseling,2023-11-09,Advisor Jones,Follow-up Needed
2829,2890,Academic Planning,2023-10-10,Advisor Smith,In Progress
2830,2891,Financial Aid Guidance,2023-11-15,Advisor Garcia,No Response
2831,2900,Career Counseling,2023-10-17,Advisor Chen,Follow-up Needed
2832,2909,Academic Planning,2023-12-01,Advisor Chen,Follow-up Needed
2833,2909,Academic Planning,2023-10-26,Advisor Jones,Successful
2834,2917,Academic Planning,2023-10-05,Advisor Garcia,No Response
2835,2922,Financial Aid Guidance,2023-11-20,Advisor Jones,No Response
2836,2923,Career Counseling,2023-10-23,Advisor Smith,No Response
2837,2924,At-Risk Outreach,2023-11-18,Advisor Chen,Follow-up Needed
2838,2927,At-Risk Outreach,2023-10-13,Advisor Chen,No Response
2839,2927,Academic Planning,2023-11-07,Advisor Garcia,Follow-up Needed
2840,2928,Financial Aid Guidance,2023-12-04,Advisor Jones,No Response
2841,2930,Academic Planning,2023-10-04,Advisor Garcia,In Progress
2842,2931,At-Risk Outreach,2023-12-18,Advisor Chen,Successful
2843,2932,Career Counseling,2023-12-18,Advisor Smith,Successful
2844,2936,Academic Planning,2023-11-16,Advisor Garcia,No Response
2845,2938,Financial Aid Guidance,2023-12-24,Advisor Smith,In Progress
2846,2938,Career Counseling,2023-12-26,Advisor Smith,No Response
2847,2941,At-Risk Outreach,2023-10-18,Advisor Garcia,In Progress
2848,2941,At-Risk Outreach,2023-12-01,Advisor Garcia,Follow-up Needed
2849,2944,At-Risk Outreach,2023-10-01,Advisor Jones,Follow-up Needed
2850,2944,Academic Planning,2023-10-23,Advisor Smith,No Response
2851,2950,Career Counseling,2023-11-07,Advisor Chen,In Progress
2852,2950,Career Counseling,2023-11-08,Advisor Jones,Follow-up Needed
2853,2954,Academic Planning,2023-11-26,Advisor Smith,In Progress
2854,2954,Career Counseling,2023-11-20,Advisor Smith,No Response
2855,2955,At-Risk Outreach,2023-11-01,Advisor Garcia,In Progress
2856,2955,Financial Aid Guidance,2023-10-15,Advisor Garcia,Successful
2857,2959,Financial Aid Guidance,2023-12-16,Advisor Chen,Follow-up Needed
2858,2961,Career Counseling,2023-10-02,Advisor Smith,Successful
2859,2962,Financial Aid Guidance,2023-10-29,Advisor Chen,Follow-up Needed
2860,2962,Career Counseling,2023-10-30,Advisor Garcia,No Response
2861,2967,Financial Aid Guidance,2023-12-26,Advisor Chen,Follow-up Needed
2862,2967,At-Risk Outreach,2023-10-04,Advisor Chen,Successful
2863,2969,Career Counseling,2023-10-02,Advisor Chen,Successful
2864,2969,Academic Planning,2023-12-27,Advisor Garcia,Successful
2865,2979,Academic Planning,2023-11-16,Advisor Jones,In Progress
2866,2981,At-Risk Outreach,2023-11-20,Advisor Jones,Successful
2867,2983,Career Counseling,2023-12-28,Advisor Chen,Successful
2868,2983,Career Counseling,2023-12-20,Advisor Jones,No Response
2869,2990,Academic Planning,2023-11-12,Advisor Garcia,In Progress
2870,2990,Financial Aid Guidance,2023-10-23,Advisor Chen,In Progress
2871,2991,Career Counseling,2023-10-21,Advisor Jones,No Response
2872,2991,Career Counseling,2023-11-29,Advisor Smith,Successful
2873,2993,Career Counseling,2023-11-14,Advisor Garcia,Successful
2874,2995,At-Risk Outreach,2023-12-08,Advisor Smith,No Response
2875,2995,Financial Aid Guidance,2023-12-25,Advisor Jones,Successful
2876,2998,Academic Planning,2023-12-25,Advisor Smith,Successful
2877,3000,Academic Planning,2023-11-14,Advisor Chen,In Progress
2878,3001,At-Risk Outreach,2023-12-14,Advisor Chen,In Progress
2879,3001,Financial Aid Guidance,2023-12-24,Advisor Smith,Successful
2880,3002,At-Risk Outreach,2023-10-21,Advisor Garcia,Successful
2881,3002,Academic Planning,2023-12-28,Advisor Smith,Follow-up Needed
2882,3005,At-Risk Outreach,2023-10-19,Advisor Chen,Follow-up Needed
2883,3005,Career Counseling,2023-12-08,Advisor Smith,Follow-up Needed
2884,3009,Career Counseling,2023-12-04,Advisor Jones,Follow-up Needed
2885,3009,Financial Aid Guidance,2023-10-18,Advisor Garcia,Successful
2886,3010,Financial Aid Guidance,2023-12-17,Advisor Smith,In Progress
2887,3010,Career Counseling,2023-12-20,Advisor Garcia,No Response
2888,3025,Career Counseling,2023-12-19,Advisor Jones,No Response
2889,3025,Financial Aid Guidance,2023-12-01,Advisor Chen,Successful
2890,3027,Career Counseling,2023-12-19,Advisor Jones,In Progress
2891,3045,At-Risk Outreach,2023-12-06,Advisor Chen,In Progress
2892,3045,Academic Planning,2023-10-14,Advisor Smith,In Progress
2893,3048,At-Risk Outreach,2023-11-26,Advisor Garcia,In Progress
2894,3050,Financial Aid Guidance,2023-12-03,Advisor Garcia,Follow-up Needed
2895,3052,Career Counseling,2023-12-04,Advisor Garcia,No Response
2896,3056,Academic Planning,2023-10-23,Advisor Smith,Follow-up Needed
2897,3057,Career Counseling,2023-11-03,Advisor Garcia,Follow-up Needed
2898,3057,Academic Planning,2023-11-15,Advisor Chen,Successful
2899,3063,Financial Aid Guidance,2023-10-20,Advisor Garcia,Successful
2900,3065,At-Risk Outreach,2023-11-29,Advisor Smith,Successful
2901,3065,At-Risk Outreach,2023-11-14,Advisor Chen,Follow-up Needed
2902,3067,Academic Planning,2023-12-22,Advisor Jones,No Response
2903,3073,Career Counseling,2023-10-08,Advisor Smith,Successful
2904,3073,At-Risk Outreach,2023-12-24,Advisor Garcia,No Response
2905,3074,At-Risk Outreach,2023-12-05,Advisor Chen,Follow-up Needed
2906,3076,Financial Aid Guidance,2023-11-24,Advisor Chen,In Progress
2907,3083,Career Counseling,2023-12-08,Advisor Garcia,In Progress
2908,3083,Career Counseling,2023-11-04,Advisor Jones,In Progress
2909,3086,Financial Aid Guidance,2023-12-18,Advisor Jones,No Response
2910,3093,Financial Aid Guidance,2023-12-26,Advisor Jones,No Response
2911,3098,Career Counseling,2023-11-11,Advisor Smith,Follow-up Needed
2912,3098,At-Risk Outreach,2023-10-09,Advisor Chen,Follow-up Needed
2913,3101,At-Risk Outreach,2023-10-18,Advisor Chen,No Response
2914,3113,Career Counseling,2023-12-17,Advisor Jones,No Response
2915,3114,Career Counseling,2023-11-29,Advisor Chen,No Response
2916,3114,Financial Aid Guidance,2023-12-23,Advisor Garcia,Successful
2917,3121,Academic Planning,2023-10-17,Advisor Smith,Successful
2918,3128,At-Risk Outreach,2023-12-26,Advisor Smith,In Progress
2919,3128,At-Risk Outreach,2023-10-23,Advisor Jones,Follow-up Needed
2920,3132,Career Counseling,2023-12-04,Advisor Jones,Follow-up Needed
2921,3133,Financial Aid Guidance,2023-12-18,Advisor Garcia,Follow-up Needed
2922,3133,Academic Planning,2023-10-30,Advisor Smith,In Progress
2923,3153,Academic Planning,2023-11-05,Advisor Garcia,Follow-up Needed
2924,3153,Academic Planning,2023-10-03,Advisor Jones,In Progress
2925,3155,Career Counseling,2023-11-21,Advisor Garcia,No Response
2926,3155,Financial Aid Guidance,2023-10-19,Advisor Chen,No Response
2927,3160,Career Counseling,2023-10-08,Advisor Jones,Successful
2928,3162,Career Counseling,2023-11-05,Advisor Garcia,Follow-up Needed
2929,3162,At-Risk Outreach,2023-10-10,Advisor Chen,In Progress
2930,3165,Academic Planning,2023-10-01,Advisor Garcia,In Progress
2931,3165,Financial Aid Guidance,2023-10-18,Advisor Jones,Successful
2932,3168,At-Risk Outreach,2023-10-15,Advisor Garcia,Successful
2933,3168,Financial Aid Guidance,2023-10-19,Advisor Chen,Follow-up Needed
2934,3169,Career Counseling,2023-10-28,Advisor Jones,Successful
2935,3170,Academic Planning,2023-12-04,Advisor Garcia,In Progress
2936,3173,Academic Planning,2023-10-04,Advisor Jones,Follow-up Needed
2937,3173,At-Risk Outreach,2023-12-15,Advisor Jones,In Progress
2938,3176,At-Risk Outreach,2023-12-22,Advisor Smith,Follow-up Needed
2939,3181,At-Risk Outreach,2023-12-22,Advisor Chen,Successful
2940,3182,Financial Aid Guidance,2023-12-08,Advisor Garcia,Successful
2941,3184,Financial Aid Guidance,2023-10-24,Advisor Smith,No Response
2942,3184,Career Counseling,2023-11-27,Advisor Jones,No Response
2943,3187,Academic Planning,2023-11-14,Advisor Chen,In Progress
2944,3187,Academic Planning,2023-12-24,Advisor Chen,Successful
2945,3190,Financial Aid Guidance,2023-10-11,Advisor Smith,In Progress
2946,3190,Academic Planning,2023-10-19,Advisor Chen,Successful
2947,3191,Academic Planning,2023-11-22,Advisor Garcia,Follow-up Needed
2948,3193,Financial Aid Guidance,2023-12-21,Advisor Chen,Follow-up Needed
2949,3193,Financial Aid Guidance,2023-12-22,Advisor Chen,No Response
2950,3200,Financial Aid Guidance,2023-10-11,Advisor Garcia,No Response
2951,3200,Career Counseling,2023-12-19,Advisor Chen,Follow-up Needed
2952,3203,Financial Aid Guidance,2023-12-09,Advisor Garcia,Follow-up Needed
2953,3203,Career Counseling,2023-12-15,Advisor Jones,No Response
2954,3206,Financial Aid Guidance,2023-10-15,Advisor Garcia,In Progress
2955,3206,At-Risk Outreach,2023-11-26,Advisor Garcia,Follow-up Needed
2956,3211,Financial Aid Guidance,2023-11-04,Advisor Smith,Follow-up Needed
2957,3218,Academic Planning,2023-11-04,Advisor Smith,No Response
2958,3218,Academic Planning,2023-12-06,Advisor Smith,In Progress
2959,3231,Academic Planning,2023-11-07,Advisor Jones,No Response
2960,3236,Career Counseling,2023-12-05,Advisor Smith,In Progress
2961,3243,At-Risk Outreach,2023-10-21,Advisor Jones,In Progress
2962,3243,At-Risk Outreach,2023-12-08,Advisor Chen,Follow-up Needed
2963,3246,Academic Planning,2023-11-28,Advisor Garcia,In Progress
2964,3249,At-Risk Outreach,2023-11-17,Advisor Garcia,Follow-up Needed
2965,3249,Financial Aid Guidance,2023-12-15,Advisor Jones,Successful
2966,3262,At-Risk Outreach,2023-11-04,Advisor Chen,Follow-up Needed
2967,3263,At-Risk Outreach,2023-11-05,Advisor Chen,In Progress
2968,3270,Financial Aid Guidance,2023-10-22,Advisor Smith,Successful
2969,3270,Academic Planning,2023-12-02,Advisor Smith,No Response
2970,3277,Career Counseling,2023-12-20,Advisor Smith,Follow-up Needed
2971,3278,Academic Planning,2023-10-18,Advisor Jones,Successful
2972,3279,Career Counseling,2023-10-17,Advisor Smith,Successful
2973,3279,Financial Aid Guidance,2023-11-24,Advisor Jones,In Progress
2974,3284,Financial Aid Guidance,2023-10-28,Advisor Jones,No Response
2975,3285,Career Counseling,2023-11-08,Advisor Smith,Successful
2976,3285,Academic Planning,2023-10-06,Advisor Chen,Successful
2977,3286,Career Counseling,2023-11-09,Advisor Garcia,Successful
2978,3288,Academic Planning,2023-11-08,Advisor Garcia,No Response
2979,3288,Career Counseling,2023-10-18,Advisor Smith,Follow-up Needed
2980,3290,At-Risk Outreach,2023-12-29,Advisor Smith,Follow-up Needed
2981,3293,Academic Planning,2023-11-08,Advisor Chen,Follow-up Needed
2982,3294,Academic Planning,2023-10-20,Advisor Smith,Successful
2983,3296,Financial Aid Guidance,2023-10-24,Advisor Jones,No Response
2984,3299,Financial Aid Guidance,2023-12-05,Advisor Garcia,In Progress
2985,3301,At-Risk Outreach,2023-11-21,Advisor Smith,In Progress
2986,3301,Academic Planning,2023-12-17,Advisor Jones,No Response
2987,3307,Academic Planning,2023-12-21,Advisor Jones,Successful
2988,3309,Career Counseling,2023-10-30,Advisor Garcia,Successful
2989,3309,At-Risk Outreach,2023-11-10,Advisor Garcia,Successful
2990,3310,At-Risk Outreach,2023-11-30,Advisor Jones,No Response
2991,3322,Academic Planning,2023-12-13,Advisor Jones,Successful
2992,3322,At-Risk Outreach,2023-11-02,Advisor Chen,Successful
2993,3334,Financial Aid Guidance,2023-10-24,Advisor Chen,Successful
2994,3334,Academic Planning,2023-10-29,Advisor Garcia,In Progress
2995,3336,Financial Aid Guidance,2023-12-03,Advisor Garcia,No Response
2996,3337,Career Counseling,2023-12-14,Advisor Jones,No Response
2997,3341,Financial Aid Guidance,2023-12-24,Advisor Chen,Follow-up Needed
2998,3343,At-Risk Outreach,2023-10-19,Advisor Smith,Successful
2999,3343,Financial Aid Guidance,2023-10-16,Advisor Jones,In Progress
3000,3345,At-Risk Outreach,2023-11-20,Advisor Jones,Successful
3001,3345,At-Risk Outreach,2023-11-27,Advisor Jones,No Response
3002,3349,Financial Aid Guidance,2023-10-17,Advisor Chen,In Progress
3003,3350,Career Counseling,2023-12-15,Advisor Garcia,In Progress
3004,3350,Academic Planning,2023-12-26,Advisor Jones,Follow-up Needed
3005,3352,Financial Aid Guidance,2023-11-12,Advisor Garcia,Successful
3006,3352,At-Risk Outreach,2023-10-08,Advisor Smith,In Progress
3007,3354,At-Risk Outreach,2023-10-06,Advisor Smith,In Progress
3008,3354,At-Risk Outreach,2023-11-16,Advisor Chen,Successful
3009,3355,At-Risk Outreach,2023-10-23,Advisor Garcia,Follow-up Needed
3010,3355,Career Counseling,2023-12-01,Advisor Chen,In Progress
3011,3356,At-Risk Outreach,2023-11-26,Advisor Jones,Follow-up Needed
3012,3356,Academic Planning,2023-12-04,Advisor Smith,In Progress
3013,3358,Career Counseling,2023-10-17,Advisor Garcia,In Progress
3014,3360,Academic Planning,2023-11-09,Advisor Smith,Follow-up Needed
3015,3370,At-Risk Outreach,2023-10-10,Advisor Chen,Successful
3016,3371,Academic Planning,2023-10-05,Advisor Smith,In Progress
3017,3371,Academic Planning,2023-10-27,Advisor Smith,Successful
3018,3375,Career Counseling,2023-10-21,Advisor Garcia,Successful
3019,3375,Career Counseling,2023-12-18,Advisor Chen,No Response
3020,3379,Academic Planning,2023-10-30,Advisor Jones,In Progress
3021,3381,Financial Aid Guidance,2023-10-20,Advisor Chen,Successful
3022,3384,At-Risk Outreach,2023-10-10,Advisor Garcia,Successful
3023,3389,Financial Aid Guidance,2023-10-01,Advisor Garcia,Follow-up Needed
3024,3390,Academic Planning,2023-10-25,Advisor Jones,Successful
3025,3391,Academic Planning,2023-11-01,Advisor Chen,Successful
3026,3391,Financial Aid Guidance,2023-12-23,Advisor Smith,In Progress
3027,3396,Academic Planning,2023-10-19,Advisor Garcia,No Response
3028,3396,Financial Aid Guidance,2023-10-30,Advisor Garcia,In Progress
3029,3398,Academic Planning,2023-10-21,Advisor Garcia,No Response
3030,3399,Academic Planning,2023-11-30,Advisor Smith,Follow-up Needed
3031,3400,Career Counseling,2023-12-07,Advisor Jones,Successful
3032,3401,At-Risk Outreach,2023-11-18,Advisor Chen,Successful
3033,3401,Financial Aid Guidance,2023-11-05,Advisor Chen,No Response
3034,3407,Academic Planning,2023-11-16,Advisor Garcia,In Progress
3035,3410,Financial Aid Guidance,2023-11-12,Advisor Chen,In Progress
3036,3415,Financial Aid Guidance,2023-10-16,Advisor Garcia,Successful
3037,3417,At-Risk Outreach,2023-11-20,Advisor Jones,In Progress
3038,3420,At-Risk Outreach,2023-12-26,Advisor Garcia,Successful
3039,3424,Career Counseling,2023-11-18,Advisor Jones,No Response
3040,3424,Academic Planning,2023-10-09,Advisor Garcia,In Progress
3041,3427,At-Risk Outreach,2023-11-29,Advisor Smith,In Progress
3042,3427,Financial Aid Guidance,2023-11-16,Advisor Smith,Follow-up Needed
3043,3428,Academic Planning,2023-12-28,Advisor Jones,No Response
3044,3429,Academic Planning,2023-12-02,Advisor Garcia,Follow-up Needed
3045,3429,Financial Aid Guidance,2023-10-14,Advisor Jones,Follow-up Needed
3046,3432,Financial Aid Guidance,2023-10-22,Advisor Jones,Follow-up Needed
3047,3433,Academic Planning,2023-12-25,Advisor Chen,In Progress
3048,3433,Financial Aid Guidance,2023-11-22,Advisor Smith,No Response
3049,3435,Financial Aid Guidance,2023-11-09,Advisor Jones,Follow-up Needed
3050,3435,Career Counseling,2023-11-17,Advisor Chen,Follow-up Needed
3051,3437,At-Risk Outreach,2023-10-22,Advisor Smith,Follow-up Needed
3052,3437,Financial Aid Guidance,2023-10-30,Advisor Garcia,In Progress
3053,3440,Financial Aid Guidance,2023-11-11,Advisor Jones,Follow-up Needed
3054,3446,Academic Planning,2023-11-22,Advisor Jones,Successful
3055,3452,Financial Aid Guidance,2023-10-01,Advisor Smith,In Progress
3056,3455,Career Counseling,2023-12-08,Advisor Garcia,Successful
3057,3455,Career Counseling,2023-11-10,Advisor Smith,Follow-up Needed
3058,3457,At-Risk Outreach,2023-11-07,Advisor Jones,Follow-up Needed
3059,3457,Academic Planning,2023-11-14,Advisor Garcia,Follow-up Needed
3060,3462,Financial Aid Guidance,2023-11-11,Advisor Garcia,Follow-up Needed
3061,3462,Financial Aid Guidance,2023-10-11,Advisor Chen,Successful
3062,3470,Academic Planning,2023-10-22,Advisor Smith,No Response
3063,3470,Career Counseling,2023-10-11,Advisor Chen,Follow-up Needed
3064,3473,Career Counseling,2023-10-23,Advisor Smith,No Response
3065,3485,Financial Aid Guidance,2023-10-16,Advisor Garcia,In Progress
3066,3485,At-Risk Outreach,2023-10-19,Advisor Jones,In Progress
3067,3490,Academic Planning,2023-12-24,Advisor Smith,No Response
3068,3494,At-Risk Outreach,2023-12-24,Advisor Jones,Follow-up Needed
3069,3496,Academic Planning,2023-12-03,Advisor Smith,No Response
3070,3497,Career Counseling,2023-10-06,Advisor Garcia,Successful
3071,3497,At-Risk Outreach,2023-12-12,Advisor Jones,No Response
3072,3504,Career Counseling,2023-10-28,Advisor Jones,Successful
3073,3509,Career Counseling,2023-11-28,Advisor Chen,Follow-up Needed
3074,3514,Career Counseling,2023-11-07,Advisor Garcia,Successful
3075,3517,At-Risk Outreach,2023-11-20,Advisor Jones,In Progress
3076,3517,Academic Planning,2023-12-13,Advisor Jones,No Response
3077,3522,Financial Aid Guidance,2023-11-23,Advisor Garcia,Follow-up Needed
3078,3523,Academic Planning,2023-11-07,Advisor Jones,In Progress
3079,3523,Financial Aid Guidance,2023-10-06,Advisor Garcia,In Progress
3080,3524,Academic Planning,2023-11-01,Advisor Jones,No Response
3081,3526,Financial Aid Guidance,2023-12-03,Advisor Jones,Successful
3082,3540,Financial Aid Guidance,2023-11-19,Advisor Garcia,Follow-up Needed
3083,3540,Career Counseling,2023-12-14,Advisor Garcia,Successful
3084,3546,Career Counseling,2023-12-22,Advisor Jones,In Progress
3085,3546,At-Risk Outreach,2023-11-01,Advisor Chen,In Progress
3086,3547,Career Counseling,2023-12-10,Advisor Jones,No Response
3087,3557,Academic Planning,2023-11-14,Advisor Chen,Follow-up Needed
3088,3558,Academic Planning,2023-12-04,Advisor Smith,In Progress
3089,3558,Career Counseling,2023-12-23,Advisor Garcia,Follow-up Needed
3090,3560,At-Risk Outreach,2023-12-13,Advisor Jones,No Response
3091,3563,At-Risk Outreach,2023-10-26,Advisor Chen,In Progress
3092,3565,Academic Planning,2023-11-09,Advisor Chen,Successful
3093,3572,At-Risk Outreach,2023-10-06,Advisor Garcia,Follow-up Needed
3094,3572,Academic Planning,2023-10-18,Advisor Jones,Successful
3095,3575,At-Risk Outreach,2023-10-03,Advisor Chen,In Progress
3096,3580,Financial Aid Guidance,2023-12-25,Advisor Smith,Follow-up Needed
3097,3580,Career Counseling,2023-10-28,Advisor Jones,Successful
3098,3583,Academic Planning,2023-10-26,Advisor Jones,No Response
3099,3587,At-Risk Outreach,2023-12-28,Advisor Smith,Successful
3100,3587,Career Counseling,2023-12-04,Advisor Smith,In Progress
3101,3588,Career Counseling,2023-11-01,Advisor Chen,No Response
3102,3590,Academic Planning,2023-10-22,Advisor Garcia,Follow-up Needed
3103,3590,Career Counseling,2023-10-09,Advisor Garcia,No Response
3104,3592,Financial Aid Guidance,2023-11-06,Advisor Chen,In Progress
3105,3593,Career Counseling,2023-10-25,Advisor Smith,Successful
3106,3594,At-Risk Outreach,2023-10-17,Advisor Chen,Successful
3107,3594,Academic Planning,2023-10-05,Advisor Smith,No Response
3108,3595,Career Counseling,2023-12-29,Advisor Smith,No Response
3109,3595,Career Counseling,2023-12-05,Advisor Smith,No Response
3110,3597,Academic Planning,2023-11-02,Advisor Jones,In Progress
3111,3598,Financial Aid Guidance,2023-12-11,Advisor Jones,Follow-up Needed
3112,3600,Financial Aid Guidance,2023-11-04,Advisor Smith,Successful
3113,3604,Academic Planning,2023-10-10,Advisor Smith,Follow-up Needed
3114,3606,At-Risk Outreach,2023-12-10,Advisor Jones,No Response
3115,3606,Career Counseling,2023-12-06,Advisor Jones,In Progress
3116,3608,Career Counseling,2023-10-17,Advisor Smith,Follow-up Needed
3117,3613,Career Counseling,2023-11-01,Advisor Garcia,No Response
3118,3614,At-Risk Outreach,2023-10-16,Advisor Garcia,No Response
3119,3614,Financial Aid Guidance,2023-10-14,Advisor Garcia,No Response
3120,3619,At-Risk Outreach,2023-12-14,Advisor Smith,No Response
3121,3619,At-Risk Outreach,2023-11-23,Advisor Smith,Successful
3122,3620,Career Counseling,2023-12-26,Advisor Garcia,Successful
3123,3623,Career Counseling,2023-10-05,Advisor Chen,In Progress
3124,3623,Academic Planning,2023-12-17,Advisor Jones,Successful
3125,3627,At-Risk Outreach,2023-10-20,Advisor Chen,No Response
3126,3628,Financial Aid Guidance,2023-11-26,Advisor Jones,Successful
3127,3628,Career Counseling,2023-12-09,Advisor Garcia,Follow-up Needed
3128,3629,Career Counseling,2023-12-25,Advisor Garcia,Follow-up Needed
3129,3629,At-Risk Outreach,2023-10-19,Advisor Chen,No Response
3130,3630,At-Risk Outreach,2023-11-14,Advisor Chen,Follow-up Needed
3131,3631,Academic Planning,2023-11-11,Advisor Smith,In Progress
3132,3636,Financial Aid Guidance,2023-11-11,Advisor Garcia,No Response
3133,3636,At-Risk Outreach,2023-10-03,Advisor Jones,No Response
3134,3638,Academic Planning,2023-10-09,Advisor Smith,In Progress
3135,3638,Career Counseling,2023-12-28,Advisor Jones,Follow-up Needed
3136,3643,Academic Planning,2023-12-24,Advisor Jones,In Progress
3137,3643,Financial Aid Guidance,2023-11-27,Advisor Jones,No Response
3138,3645,At-Risk Outreach,2023-10-28,Advisor Chen,Successful
3139,3645,Academic Planning,2023-11-24,Advisor Chen,No Response
3140,3647,Career Counseling,2023-10-04,Advisor Garcia,Follow-up Needed
3141,3647,Academic Planning,2023-11-26,Advisor Smith,No Response
3142,3652,Financial Aid Guidance,2023-12-24,Advisor Smith,In Progress
3143,3658,At-Risk Outreach,2023-10-07,Advisor Jones,No Response
3144,3660,Academic Planning,2023-10-16,Advisor Jones,In Progress
3145,3660,At-Risk Outreach,2023-10-11,Advisor Jones,No Response
3146,3662,Academic Planning,2023-10-15,Advisor Garcia,No Response
3147,3662,Career Counseling,2023-11-14,Advisor Jones,In Progress
3148,3664,At-Risk Outreach,2023-10-10,Advisor Smith,Follow-up Needed
3149,3664,At-Risk Outreach,2023-10-12,Advisor Chen,In Progress
3150,3677,At-Risk Outreach,2023-12-05,Advisor Chen,In Progress
3151,3677,Academic Planning,2023-10-30,Advisor Garcia,Follow-up Needed
3152,3679,Academic Planning,2023-12-10,Advisor Jones,Successful
3153,3679,Financial Aid Guidance,2023-11-20,Advisor Chen,Follow-up Needed
3154,3682,At-Risk Outreach,2023-12-05,Advisor Garcia,Follow-up Needed
3155,3683,Financial Aid Guidance,2023-11-21,Advisor Chen,No Response
3156,3689,Career Counseling,2023-12-18,Advisor Smith,No Response
3157,3689,Academic Planning,2023-11-10,Advisor Jones,Follow-up Needed
3158,3691,At-Risk Outreach,2023-10-03,Advisor Smith,In Progress
3159,3692,Financial Aid Guidance,2023-10-17,Advisor Chen,In Progress
3160,3694,Academic Planning,2023-11-23,Advisor Chen,Follow-up Needed
3161,3695,Financial Aid Guidance,2023-11-08,Advisor Chen,No Response
3162,3699,Financial Aid Guidance,2023-12-10,Advisor Jones,No Response
3163,3701,Financial Aid Guidance,2023-10-19,Advisor Jones,Follow-up Needed
3164,3701,Financial Aid Guidance,2023-10-12,Advisor Garcia,Successful
3165,3709,Career Counseling,2023-12-03,Advisor Chen,No Response
3166,3713,Financial Aid Guidance,2023-12-06,Advisor Smith,No Response
3167,3713,At-Risk Outreach,2023-10-01,Advisor Smith,No Response
3168,3717,Academic Planning,2023-10-02,Advisor Garcia,No Response
3169,3717,At-Risk Outreach,2023-11-25,Advisor Garcia,Follow-up Needed
3170,3719,Financial Aid Guidance,2023-12-15,Advisor Garcia,No Response
3171,3729,Financial Aid Guidance,2023-11-18,Advisor Garcia,No Response
3172,3729,Career Counseling,2023-11-19,Advisor Smith,In Progress
3173,3730,Academic Planning,2023-12-08,Advisor Jones,Successful
3174,3731,At-Risk Outreach,2023-10-11,Advisor Chen,Successful
3175,3735,Career Counseling,2023-11-04,Advisor Jones,Successful
